Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
United States,0,0,0,0,2.77,0,41602.799,6303.321,568.187,7.636,0.005731838,799.23,0.087656
Austria,0,0,0,0,7.37,0,59741.702,4567.301,7581.937,2.256,0.001046731,519.311,0.104613462
Belgium,0,0,0,0,5.64,0,55788.9,4493.674,616.805,2.784,0.001917317,428.041,0.05652449
Bulgaria,0,0,0,0,7.454,0,12534.589,1257.164,393.705,2.182,0.013355102,1088.051,0.101189796
Czechia,0,0,0,0,6.63,0,43925.424,4276.254,721.989,1.497,0.002916455,590.437,0.029014583
Denmark,0,0,0,0,2.5,0,38333.915,1200.2,1972.357,1.058,0.001706945,767.157,0.056530769
Finland,0,0,0,0,3.28,0,43015.15,1425.451,427.086,4.424,0.005115513,1095.942,0.124802041
France,0,0,0,0,5.98,0,109211.162,8321.294,1271.17,2.249,0.001292308,567.683,0.057139216
Germany,0,0,0,0,8,0,218595,6514.879,458.952,2.67,0.001662497,603.255,0.094984615
Greece,0,0,0,0,4.21,0,4200,2491.2,3657.388,4.759,0.003210519,1368.548,0.114469388
Hungary,0,0,0,0,7.02,0,33786.669,3045.9,232.33,1.629,0.010324625,971.003,0.048277551
Ireland,0,0,0,0,2.96,0,41595.558,2462.615,485.012,3.502,0.002522653,476.518,0.085945455
Italy,0,0,0,0,3.18,0,58208.64,2986.087,1471.205,4.35,0.002452133,799.435,0.098293182
Lithuania,0,0,0,0,6.56,0,27985.224,4628.2,665.957,1.554,0.002764279,772.155,0.169732653
Luxembourg,0,0,0,0,4.51,0,16034.556,2036.688,757.753,2.938,0.001270963,414.064,-0.039744898
Netherlands,0,0,0,0,3.32,0,15092.283,1632.54,498.702,0.893,0.000399732,124.442,0.080525
Norway,0,0,0,0,3.6,0,4819.737,2846.9,359.044,1.049,0.0027836,559.196,0.120307692
Poland,0,0,0,0,6.62,0,31425.763,3240.32,240.33,3.142,0.010102725,581.946,0.049828846
Portugal,0,0,0,0,3.39,0,15992.726,1139.145,1633.683,3.866,0.001606871,662.787,0.092315385
Romania,0,0,0,0,6.892,0,53262.665,756.894,227.705,10.585,0.005810946,444.262,0.038864583
Slovakia,0,0,0,0,5.82,0,61795.825,5914.992,901.822,0.951,0.003323019,765.476,0.102003846
Slovenia,0,0,0,0,4.5,0,38306.131,7105.702,1537.748,0.771,0.001710903,681.45,0.037682353
Spain,0,0,0,0,2.97,0,47044.307,4305.468,438.583,3.619,0.003628335,583.454,0.102373077
Sweden,0,0,0,0,2.22,0,32825.429,1114.952,323.559,1.679,0.00466831,609.242,0.044642
Switzerland,0,0,0,0,4.53,0,45390.805,3446.835,814.627,1.524,0.000630503,224.735,0.082982692
United Kingdom,0,0,0,0,2.54,0,61827.535,839.903,1694.378,3.093,0.003521825,562.473,0.080526923
