,0.3
USA,0.9269152323471057
AUT,0.04567889536783041
BEL,0.7611120205088646
BGR,1.0
CZE,0.9363674685667649
DNK,0.4399640475812515
FIN,0.8114728175288342
FRA,0.8473357471875963
DEU,0.12450668779576665
GRC,0.8375639676091053
HUN,0.7968349050836842
IRL,0.11290244712120397
ITA,0.17203606219862044
LTU,0.5154993061309083
LUX,0.7645584654467057
NLD,0.491854756771792
NOR,0.0
POL,0.6200957449406007
PRT,0.5412207501943505
ROU,0.964318585927824
SVK,0.9641671877146197
SVN,0.6251138076320848
ESP,0.8748719725370613
SWE,0.4540988306678535
CHE,0.7599221158736156
GBR,0.1182141783978269
