Country,0.00,0.25,0.29,0.50,0.75,1.00
USA,22,22,22,22,22,22
AUT,2,2,2,2,2,5
BEL,14,15,15,16,16,17
BGR,26,26,26,26,26,26
CZE,23,23,23,23,23,23
DNK,7,7,7,7,8,10
FIN,17,18,18,18,19,20
FRA,20,20,20,20,20,19
DEU,4,5,5,5,6,6
GRC,19,19,19,19,18,18
HUN,18,17,17,17,17,15
IRL,3,3,3,3,4,4
ITA,6,6,6,6,5,3
LTU,10,10,10,10,9,7
LUX,16,16,16,15,14,14
NLD,9,9,9,9,10,11
NOR,1,1,1,1,1,2
POL,12,12,12,12,12,13
PRT,11,11,11,11,11,9
ROU,24,24,24,25,25,25
SVK,25,25,25,24,24,24
SVN,13,13,13,13,13,12
ESP,21,21,21,21,21,21
SWE,8,8,8,8,7,8
CHE,15,14,14,14,15,16
GBR,5,4,4,4,3,1
