,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001
USA,21,20,19,19,19,18,18
AUT,2,2,2,2,6,10,10
BEL,11,11,11,11,10,9,9
BGR,26,26,26,26,26,26,26
CZE,22,21,22,22,22,22,22
DNK,5,4,3,3,2,2,2
FIN,14,14,13,12,8,6,3
FRA,17,15,15,15,12,11,12
DEU,7,7,7,8,13,14,14
GRC,16,16,18,18,18,19,19
HUN,15,22,24,24,24,24,25
IRL,3,3,4,4,3,4,6
ITA,8,9,9,14,16,16,16
LTU,23,23,21,20,20,20,20
LUX,10,10,10,10,9,8,8
NLD,9,8,8,7,5,3,4
NOR,1,1,1,1,1,1,1
POL,20,19,20,21,21,21,21
PRT,12,13,14,13,15,15,15
ROU,24,24,25,25,25,25,24
SVK,25,25,23,23,23,23,23
SVN,18,17,16,17,17,17,17
ESP,19,18,17,16,14,12,11
SWE,6,6,6,5,4,5,7
CHE,13,12,12,9,7,7,5
GBR,4,5,5,6,11,13,13
